 anger, anger
 anger, anger
 anger, anger
 anger, anger
 anger, anger
 anger, anger
 anger, anger
 anger, anger
 anger, anger
 anger, anger
 anger, anger
 anger, anger
 anger, anger
 anger, anger
 anger, anger
 anger, anger
 anger, anger
 anger, anger
 anger, anger
 anger, anger
 anger, anger
 anger, anger
 anger, anger
 anger, anger
 anger, disgust
 anger, disgust
 anger, disgust
 anger, disgust
 anger, disgust
 anger, disgust
 anger, disgust
 anger, fear
 anger, fear
 anger, fear
 anger, fear
 anger, fear
 anger, fear
 anger, happiness
 anger, happiness
 anger, happiness
 anger, happiness
 anger, happiness
 anger, happiness
 anger, happiness
 anger, happiness
 anger, happiness
 anger, happiness
 anger, happiness
 anger, happiness
 anger, happiness
 anger, happiness
 anger, happiness
 anger, happiness
 anger, neutral
 anger, neutral
 anger, neutral
 anger, neutral
 anger, neutral
 anger, neutral
 anger, neutral
 anger, neutral
 anger, neutral
 anger, neutral
 anger, neutral
 anger, neutral
 anger, neutral
 anger, neutral
 anger, neutral
 anger, neutral
 anger, neutral
 anger, neutral
 anger, sadness
 anger, sadness
 anger, sadness
 anger, sadness
 anger, sadness
 anger, sadness
 anger, sadness
 anger, sadness
 anger, sadness
 anger, sadness
 anger, sadness
 anger, sadness
 anger, sadness
 anger, surprise
 anger, surprise
 anger, surprise
 anger, surprise
 anger, surprise
 anger, surprise
 anger, surprise
 anger, surprise
 anger, surprise
 anger, surprise
 anger, surprise
 anger, surprise
 anger, surprise
 anger, surprise
 anger, surprise
 anger, surprise
 anger, surprise
 disgust, anger
 disgust, anger
 disgust, anger
 disgust, anger
 disgust, anger
 disgust, anger
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, disgust
 disgust, fear
 disgust, fear
 disgust, fear
 disgust, fear
 disgust, fear
 disgust, happiness
 disgust, happiness
 disgust, happiness
 disgust, happiness
 disgust, happiness
 disgust, happiness
 disgust, happiness
 disgust, happiness
 disgust, happiness
 disgust, happiness
 disgust, happiness
 disgust, happiness
 disgust, happiness
 disgust, happiness
 disgust, happiness
 disgust, neutral
 disgust, neutral
 disgust, neutral
 disgust, neutral
 disgust, neutral
 disgust, neutral
 disgust, neutral
 disgust, neutral
 disgust, neutral
 disgust, neutral
 disgust, neutral
 disgust, neutral
 disgust, neutral
 disgust, neutral
 disgust, neutral
 disgust, neutral
 disgust, sadness
 disgust, sadness
 disgust, sadness
 disgust, sadness
 disgust, sadness
 disgust, surprise
 disgust, surprise
 disgust, surprise
 disgust, surprise
 disgust, surprise
 disgust, surprise
 disgust, surprise
 disgust, surprise
 disgust, surprise
 fear, anger
 fear, anger
 fear, disgust
 fear, disgust
 fear, disgust
 fear, disgust
 fear, disgust
 fear, disgust
 fear, disgust
 fear, disgust
 fear, fear
 fear, fear
 fear, fear
 fear, fear
 fear, fear
 fear, fear
 fear, fear
 fear, fear
 fear, fear
 fear, fear
 fear, fear
 fear, fear
 fear, fear
 fear, fear
 fear, fear
 fear, fear
 fear, fear
 fear, fear
 fear, fear
 fear, fear
 fear, fear
 fear, fear
 fear, happiness
 fear, happiness
 fear, happiness
 fear, happiness
 fear, happiness
 fear, happiness
 fear, happiness
 fear, happiness
 fear, happiness
 fear, happiness
 fear, happiness
 fear, happiness
 fear, happiness
 fear, happiness
 fear, happiness
 fear, happiness
 fear, happiness
 fear, happiness
 fear, neutral
 fear, neutral
 fear, neutral
 fear, neutral
 fear, neutral
 fear, neutral
 fear, neutral
 fear, neutral
 fear, neutral
 fear, neutral
 fear, neutral
 fear, neutral
 fear, neutral
 fear, sadness
 fear, sadness
 fear, sadness
 fear, sadness
 fear, sadness
 fear, sadness
 fear, sadness
 fear, sadness
 fear, sadness
 fear, surprise
 fear, surprise
 fear, surprise
 fear, surprise
 fear, surprise
 fear, surprise
 fear, surprise
 fear, surprise
 fear, surprise
 fear, surprise
 fear, surprise
 fear, surprise
 fear, surprise
 fear, surprise
 fear, surprise
 fear, surprise
 fear, surprise
 happiness, anger
 happiness, anger
 happiness, anger
 happiness, anger
 happiness, disgust
 happiness, disgust
 happiness, disgust
 happiness, disgust
 happiness, disgust
 happiness, disgust
 happiness, disgust
 happiness, fear
 happiness, fear
 happiness, fear
 happiness, fear
 happiness, happiness
 happiness, happiness
